Designator,Footprint,Quantity,Value,LCSC Part #
120R1,LairdTech_28C0236-0JW-10,1,FerriteBead 120R,
"C1, C2",805,2,22u,
"C10, C9",805,2,1u,
"C11, C12, C13_2, C13, C14, C15, C16, C4, C5, C6, C7",805,11,100n,
C3,805,1,10u,
C8,805,1,10n,
D1,805,1,LED,
"D2,D3,D4",603,3,LED_R,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,
"R1, R10, R11, R4, R5, R6, R7",805,7,1k5,
R12,805,1,120,
"R2, R3",805,2,10k,
"R8, R9",805,2,5k1,
SW1,SW_PUSH_6mm,1,SW_PUSH_6mm,
SW2,SW_SPDT_CK_JS102011SAQN,1,SW_SPDT,
TH1,LED_D4.0mm,1,"10K, RL0503-5820-97-MS",https://www.digikey.ca/en/products/detail/amphenol-advanced-sensors/RL0503-5820-97-MS/136365
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,HLGA-10L_2X2X0P73_STM,1,BME280,
U5,SOIC8_4P9X3P9MC_MCH,1,MCP2542FD,
Y1,Oscillator_SMD_TXC_7C-4Pin_5.0x3.2mm,1,OT32258MJBA4SL,
,,,,
Parts On hand,,,,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U4,None,1,IMU GY 521,
U6,,1,NHD-C0220BIZ,